Model,type,Persona,persona_index,Persona_Content,temp,run,openeness,consciencienes,extraversion,agreeableness,neuroticism,self_regulation,CCT_cold_avg
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,1,3.1,4.78,3.5,3.56,2.25,221.76,26.48148148
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,2,2.9,4.67,3.38,3.22,2,223.02,28.7037037
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,3,3,4.67,3.38,3.56,2.25,209.16,25.81481481
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,1,3,4.67,3,3.67,2.5,228.06,25.22222222
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,2,3.2,4.67,3,3.33,2.75,224.91,22.55555556
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,3,2.7,4.78,3.12,3.44,2.38,221.76,24.51851852
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,1,3.3,4.11,2.88,3.56,2.38,224.28,20.62962963
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,2,3.5,4.33,3.12,3.33,2.5,214.2,17.33333333
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,3,3.3,4.44,3,2.89,2.38,221.76,19.40740741
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,1,3,4.67,3,3.78,2.12,204.12,23.66666667
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,2,3.2,4.56,3.12,3.78,2.62,216.72,27.33333333
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,3,2.8,4.22,2.88,3.44,2.5,209.79,26.25925926
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,1,2.8,4.33,3,3.33,2.25,212.31,22.03703704
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,2,3.5,4,2.62,3.67,3.12,217.98,21.48148148
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,3,2.7,4.11,2.88,3.33,2.38,214.83,23.51851852
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,1,3.4,3.89,3,3.89,2.62,209.79,19.66666667
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,2,2.7,4.56,3.25,3.56,2.75,212.94,19.18518519
mistralai/Mistral-7B-Instruct-v0.1,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,3,2.2,4,2.75,2.89,2.88,200.97,18.74074074
allenai/OLMo-2-1124-7B-Instruct,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,1,3.4,4.44,3.38,3.78,2.38,240.03,29
allenai/OLMo-2-1124-7B-Instruct,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,2,3.3,4.33,3.12,3.67,2.5,241.92,29
allenai/OLMo-2-1124-7B-Instruct,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,3,3.3,4.44,3.12,3.78,2.25,238.77,29
allenai/OLMo-2-1124-7B-Instruct,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,1,3.2,4.11,3.38,3.78,2.25,241.92,29
allenai/OLMo-2-1124-7B-Instruct,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,2,3.2,4.22,3.38,3.67,2,245.7,28.92592593
allenai/OLMo-2-1124-7B-Instruct,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,3,3.4,4.33,3.25,3.78,2.38,243.18,29
allenai/OLMo-2-1124-7B-Instruct,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",1,1,3.4,4.56,3.25,4,2.25,236.25,27.14814815
allenai/OLMo-2-1124-7B-Instruct,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",1,2,3,4.56,3.25,4.11,2.12,243.18,29.11111111
allenai/OLMo-2-1124-7B-Instruct,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",1,3,3.2,4.44,3.25,3.78,2.12,240.03,28.92592593
allenai/OLMo-2-1124-7B-Instruct,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,1,3.3,4.67,3.38,3.89,2.38,246.96,29
allenai/OLMo-2-1124-7B-Instruct,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,2,3.1,4.56,3.5,3.89,2.25,245.07,29
allenai/OLMo-2-1124-7B-Instruct,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,3,3.2,4.33,3.38,3.89,2.25,245.7,29
allenai/OLMo-2-1124-7B-Instruct,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,1,3.3,4.56,3.25,4.22,2.38,245.07,28.96296296
allenai/OLMo-2-1124-7B-Instruct,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,2,3,4.44,3.25,3.89,2.12,234.99,29
allenai/OLMo-2-1124-7B-Instruct,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,3,3.3,4,3.25,3.89,2.25,236.88,29
allenai/OLMo-2-1124-7B-Instruct,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,1,3.5,4.22,3.88,3.78,1.75,234.99,27.11111111
allenai/OLMo-2-1124-7B-Instruct,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,2,3.5,4.56,3.12,3.56,2.25,243.18,27.88888889
allenai/OLMo-2-1124-7B-Instruct,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,3,3.3,4.33,3.25,3.67,2.12,240.03,27.74074074
allenai/OLMo-2-1124-7B-Instruct,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,1,3.2,4.22,3.12,3.89,2.38,241.29,29
allenai/OLMo-2-1124-7B-Instruct,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,2,3.2,4.33,3,3.89,2.12,241.29,29
allenai/OLMo-2-1124-7B-Instruct,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,3,3.2,4.33,3.38,3.78,2.12,243.18,29
allenai/OLMo-2-1124-7B-Instruct,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,1,3,4.67,3.25,3.89,1.75,241.29,29
allenai/OLMo-2-1124-7B-Instruct,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,2,3,4.22,2.88,4.11,2.12,241.92,28
allenai/OLMo-2-1124-7B-Instruct,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,3,3.2,4.22,3.5,4.11,2.38,236.25,28.96296296
allenai/OLMo-2-1124-7B-Instruct,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,1,3.3,4.11,3.25,3.78,2.25,240.03,29
allenai/OLMo-2-1124-7B-Instruct,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,2,2.7,4.11,2.75,3.67,2.12,238.14,26.88888889
allenai/OLMo-2-1124-7B-Instruct,instruct,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,3,3.1,4.22,2.88,3.44,2.25,233.1,28.03703704
gpt-4o,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,1,3,4.78,3.25,3.78,2,272.16,13.55555556
gpt-4o,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,2,2.9,4.78,3.12,3.78,2,274.05,10.81481481
gpt-4o,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,3,2.9,4.78,3.25,3.78,2.25,272.79,9.962962963
gpt-4o,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,1,3,4.56,3.38,3.78,2.5,275.31,7.481481481
gpt-4o,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,2,3.3,4.56,3.5,3.56,2,275.31,10.33333333
gpt-4o,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,3,2.9,4.89,3.12,3.67,2.25,274.05,9.37037037
gpt-4o,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",1,1,3.4,4.56,3.5,4.11,2.12,274.05,9.666666667
gpt-4o,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",1,2,3.4,4.78,3.38,3.56,2.5,267.12,10.81481481
gpt-4o,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",1,3,3,4.67,3.75,3.67,1.88,274.05,8.925925926
gpt-4o,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,1,3,4.78,3,3.67,2.25,275.31,9.296296296
gpt-4o,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,2,3,4.78,3.12,3.56,2.25,275.31,7.777777778
gpt-4o,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,3,3,4.78,3.12,3.67,2.25,272.79,9.074074074
gpt-4o,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,1,3,4.56,3.12,3.56,1.88,274.05,7.481481481
gpt-4o,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,2,2.9,4.78,3.25,3.67,2.25,274.05,9.37037037
gpt-4o,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,3,2.9,4.78,3.62,3.67,2.25,275.94,10.62962963
gpt-4o,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,1,3.1,4.78,3.5,3.78,2.38,272.79,8.222222222
gpt-4o,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,2,2.8,4.78,3.25,3.44,2.12,277.2,10.7037037
gpt-4o,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,3,3.1,4.78,3.25,3.67,2.38,270.9,9.259259259
gpt-4o,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,1,3.1,4.78,2.75,3.44,3,267.12,9.814814815
gpt-4o,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,2,2.7,4.78,3,3.22,2.5,260.82,12.2962963
gpt-4o,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,3,3,4.78,3,3.22,3,265.23,7.481481481
gpt-4o,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,1,2.8,4.56,2.75,3.44,3,262.71,10.2962963
gpt-4o,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,2,2.7,4.56,2.75,3.67,3,263.97,9.740740741
gpt-4o,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,3,2.7,4.56,3.25,3.44,2.5,270.27,6.851851852
gpt-4o,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,1,2.7,4.67,2.88,3.56,2.62,258.93,10.25925926
gpt-4o,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,2,2.9,4.89,2.75,3.44,2.5,272.79,7.740740741
gpt-4o,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,3,3,4.78,3,3.56,2.62,269.01,9.407407407
claude-3-7-sonnet-20250219,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,1,4.5,5,4.12,4.11,1.5,277.83,25.66666667
claude-3-7-sonnet-20250219,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,2,4.4,5,4.12,4.11,1.5,279.09,25.37037037
claude-3-7-sonnet-20250219,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,3,4.4,5,4.12,4.33,1.75,275.31,25.48148148
claude-3-7-sonnet-20250219,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,1,4.3,5,4.12,4.11,1.62,277.2,23.77777778
claude-3-7-sonnet-20250219,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,2,4.5,5,4.38,4.22,1.75,279.09,21.7037037
claude-3-7-sonnet-20250219,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,3,4.4,5,4.12,4.33,1.62,279.72,24.40740741
claude-3-7-sonnet-20250219,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",1,1,4.3,5,4.12,4.11,1.88,275.94,21.2962963
claude-3-7-sonnet-20250219,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",1,2,4.4,5,3.88,4.11,1.5,280.98,22.2962963
claude-3-7-sonnet-20250219,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",1,3,4.5,5,4.12,4,1.38,279.09,20.11111111
claude-3-7-sonnet-20250219,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,1,4.3,5,3.88,4.22,1.38,287.28,21.66666667
claude-3-7-sonnet-20250219,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,2,4.3,5,4.12,4.33,1.38,287.91,18.96296296
claude-3-7-sonnet-20250219,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,3,4.2,5,4.25,4.22,1.25,287.28,21.59259259
claude-3-7-sonnet-20250219,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,1,4.1,5,4.25,4.22,1.5,287.28,20.33333333
claude-3-7-sonnet-20250219,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,2,4.2,5,4,4.11,1.38,284.13,18.37037037
claude-3-7-sonnet-20250219,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,3,4,5,4.38,4.22,1.38,282.87,19.85185185
claude-3-7-sonnet-20250219,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,1,4,5,3.75,4.11,1.12,284.13,18.07407407
claude-3-7-sonnet-20250219,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,2,4.4,5,4,4.11,1.88,287.28,18.96296296
claude-3-7-sonnet-20250219,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,3,4.1,5,4.12,3.78,1.25,279.72,18.14814815
claude-3-7-sonnet-20250219,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,1,4.4,5,3.5,4.44,1.12,284.76,19.96296296
claude-3-7-sonnet-20250219,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,2,4.4,5,3.5,4.22,1.12,284.13,19.77777778
claude-3-7-sonnet-20250219,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,3,4.3,5,3.38,4.33,1.12,284.13,19.33333333
claude-3-7-sonnet-20250219,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,1,4.4,5,3.62,4.44,1.12,280.98,18.66666667
claude-3-7-sonnet-20250219,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,2,4.5,5,3.62,4.67,1,282.87,20.48148148
claude-3-7-sonnet-20250219,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,3,4.2,5,3.75,4.44,1,284.76,18.11111111
claude-3-7-sonnet-20250219,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,1,3.9,5,4.12,4.44,1.5,284.76,18.51851852
claude-3-7-sonnet-20250219,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,2,4.2,5,3.88,4.44,1.38,284.76,17.03703704
claude-3-7-sonnet-20250219,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,3,4.2,5,4,4.44,1.38,280.98,18.11111111
llama3.1-405b,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,1,3.1,5,3.25,3.89,1.62,277.2,21.74074074
llama3.1-405b,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,2,2.5,5,3.38,4.11,1.75,267.75,19.44444444
llama3.1-405b,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,3,2.8,5,3.25,4,1.88,274.05,20.7037037
llama3.1-405b,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,1,2.8,5,3.25,4.11,1.62,270.9,19.62962963
llama3.1-405b,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,2,3.5,5,3.38,4.11,1.62,270.9,21.11111111
llama3.1-405b,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,3,3.2,5,3.25,3.78,1.38,274.05,21.25925926
llama3.1-405b,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",1,1,2.9,5,3.38,3.78,1.5,272.79,22.81481481
llama3.1-405b,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",1,2,2.5,5,3.5,3.89,1.62,267.75,18.92592593
llama3.1-405b,instruct-lg,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",1,3,3.1,5,3.25,4.22,1.25,267.12,16.03703704
llama3.1-405b,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,1,2.4,5,3.12,4.22,1.62,270.27,18.62962963
llama3.1-405b,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,2,2.9,5,2.88,3.67,1.25,272.16,13.33333333
llama3.1-405b,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,3,3.5,5,3.12,3.89,1.62,270.27,21.18518519
llama3.1-405b,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,1,2.9,5,3,4,1.62,270.27,17.18518519
llama3.1-405b,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,2,2.9,5,3.12,3.78,1.62,275.31,18.88888889
llama3.1-405b,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,3,2.5,5,2.75,3.89,1.75,270.27,19.33333333
llama3.1-405b,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,1,3,5,2.88,3.89,1.88,275.31,19.37037037
llama3.1-405b,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,2,3.1,5,3.12,3.89,1.25,274.05,16.92592593
llama3.1-405b,instruct-lg,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,3,2.9,5,3.25,4.11,1.5,275.31,17.92592593
llama3.1-405b,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,1,2.6,5,2.62,4,1.62,277.2,20.2962963
llama3.1-405b,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,2,2.8,5,3.12,4.22,1.38,275.31,20.59259259
llama3.1-405b,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,3,2.5,5,3,4,1.75,275.94,19.66666667
llama3.1-405b,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,1,3.2,5,3,3.89,1.38,267.12,18.37037037
llama3.1-405b,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,2,2.6,5,2.75,3.89,1.12,270.27,20.25925926
llama3.1-405b,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,3,2.7,5,2.75,4.22,1.5,262.71,19.55555556
llama3.1-405b,instruct-lg,self-regulation3,3,"Adopt to the identity of disciplined, organized, focused. Answer the questions while staying in strict accordance with the nature of this identity.",1,1,2.7,5,2.88,4,1.38,272.16,22.44444444
